ResponseId_pre	Semester_pre	Q1_pre	Q8_pre	Q9_1_pre	Q9_2_pre	Q9_3_pre	Q9_4_pre	Q9_5_pre	Q9_6_pre	Q9_7_pre	Q9_8_pre	Q9_9_pre	Q9_10_pre	Q10_1_pre	Q10_2_pre	Q10_3_pre	Q10_4_pre	Q10_5_pre	Q10_6_pre	Q10_7_pre	Q10_8_pre	Q10_9_pre	Q10_10_pre	Q10_11_pre	Q10_12_pre	Q10_13_pre	Q10_14_pre	Q10_15_pre	Q10_16_pre	Q10_17_pre	Q10_18_pre	Q10_19_pre	Q10_20_pre	Q10_21_pre	Q10_22_pre	Q10_23_pre	Q10_24_pre	Q10_25_pre	Q11_1_pre	Q11_2_pre	Q11_3_pre	Q11_4_pre	Q11_5_pre	Q11_6_pre	Q11_7_pre	Q11_8_pre	Q11_9_pre	Q11_10_pre	Q11_11_pre	Q11_12_pre	Q11_13_pre	Q11_14_pre	Q11_15_pre	Q11_16_pre	Q11_17_pre	Q11_18_pre	Q11_19_pre	Q11_20_pre	Q11_21_pre	Q11_22_pre	Q19_1_pre	Q19_2_pre	Q19_3_pre	Q19_4_pre	Q19_5_pre	Q19_6_pre	Q19_7_pre	Q19_8_pre	Q19_9_pre	Q19_10_pre	Q2_pre	Q3_pre	Q4_pre	Q5_pre	Q6_pre	Q7_pre	Q8_post	Q9_1_post	Q9_2_post	Q9_3_post	Q9_4_post	Q9_5_post	Q9_6_post	Q9_7_post	Q9_8_post	Q9_9_post	Q9_10_post	Q9_11_post	Q9_12_post	Q9_13_post	Q9_14_post	Q9_15_post	Q9_16_post	Q9_17_post	Q9_18_post	Q9_19_post	Q9_20_post	Q9_21_post	Q9_22_post	Q9_23_post	Q9_24_post	Q9_25_post	Q10_1_post	Q10_2_post	Q10_3_post	Q10_4_post	Q10_5_post	Q10_6_post	Q10_7_post	Q10_8_post	Q10_9_post	Q10_10_post	Q10_11_post	Q10_12_post	Q10_13_post	Q10_14_post	Q10_15_post	Q10_16_post	Q10_17_post	Q10_18_post	Q10_19_post	Q10_20_post	Q10_21_post	Q11_1_post	Q11_2_post	Q11_3_post	Q11_4_post	Q13_1_post	Q13_2_post	Q13_3_post	Q13_4_post	Q13_5_post	Q13_6_post	Q13_7_post	Q13_8_post	Q13_9_post	Q13_10_post	Q13_11_post	Q13_12_post	Q13_13_post	Q13_14_post	Q13_15_post	Q13_16_post	Q13_17_post	Q13_18_post	Q13_19_post	Q13_20_post	Q13_21_post	Q13_22_post	Q2_post	Q3_post	Q4_post	Q5_post	Q6_post	Q7_post
R_3qL7r6KNJMP9thT	Fall 2021	Agree	My goal is to go to graduate school for a Ph.D. degree in a biology-related field	Very important	Very important	Very important	Moderately important	Very important	Very important	Moderately important	Very important	Not important	Moderately important	Much	Much	Some	Much	Some	Little	Much	Extensive	Extensive	Some	Little	None	Extensive	Extensive	Much	None	Little	Little	Much	Extensive	Extensive	Extensive	Extensive	Extensive	Little	Agree	Neutral	Agree	Agree	Disagree	Disagree	Strongly disagree	Strongly disagree	Neutral	Agree	Disagree	Neutral	Strongly agree	Agree	Disagree	Disagree	Strongly disagree	Strongly agree	Disagree	Neutral	Disagree	Strongly disagree	3	3	3	3	2	2	3	4	3	4	Female	White	I am a first-year college undergraduate.	Yes	Biology Major	Definitely yes	I now plan to pursue a Master's degree in a science-related field	Little	Some	Much	Much	Extensive	Much	Little	Some	Extensive	Extensive	Extensive	Some	Extensive	Much	Much	Much	Much	Little	None	None	None	None	Much	Extensive	Little	Small gain	Large gain	Very large gain	Very large gain	Large gain	Large gain	Moderate gain	Large gain	Very large gain	Large gain	Very large gain	Moderate gain	Large gain	Large gain	Moderate gain	Moderate gain	Moderate gain	Large gain	Large gain	Very large gain	Moderate gain	Agree	Strongly agree	Strongly agree	Strongly agree	Agree	Neutral	Agree	Neutral	Disagree	Neutral	Strongly disagree	Strongly disagree	Neutral	Agree	Neutral	Neutral	Strongly agree	Agree	Neutral	Strongly disagree	Strongly agree	Agree	Strongly disagree	Neutral	Disagree	Strongly disagree	Female	White	I am a first-year college undergraduate.	Yes	Biology	Prefer not to answer
R_2zejDb2EHdSPTCK	Fall 2021	Agree	My goal is to go to graduate school for a Ph.D. degree in a biology-related field	Not important	Moderately important	Moderately important	Very important	Very important	Very important	Very important	Very important	Not important	Not important	Much	Some	Little	Some	None	Little	Extensive	Extensive	Extensive	Much	Little	None	Some	Some	None	None	None	None	Some	Some	Extensive	Extensive	Extensive	Little	None	Strongly agree	Strongly agree	Strongly agree	Strongly disagree	Strongly disagree	Disagree	Disagree	Disagree	Agree	Agree	Disagree	Disagree	Strongly agree	Agree	Strongly disagree	Disagree	Disagree	Agree	Agree	Disagree	Disagree	Strongly disagree	2	3	1	2	4	2	4	1	1	1	Male	Asian American	I am a first-year college undergraduate.	Yes	Bachelor the Science in Biology	It is likely	I now plan not to pursue post-graduate education	Much	Much	Much	Much	Much	Some	Much	Much	Much	Much	Much	Some	Much	Some	Some	Much	Some	Some	Much	Little	Little	Little	Much	Extensive	Some	Large gain	Large gain	Large gain	Moderate gain	Moderate gain	Large gain	Large gain	Very large gain	Large gain	Large gain	Large gain	Large gain	Very large gain	Very large gain	Moderate gain	Moderate gain	Moderate gain	Moderate gain	Moderate gain	Large gain	Moderate gain	Neutral	Agree	Neutral	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Agree	Strongly agree	Strongly disagree	Disagree	Strongly agree	Strongly agree	Strongly disagree	Disagree	Strongly disagree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly disagree	Male	Asian American	I am a first-year college undergraduate.	Yes	Biology	Definitely yes
R_2QWzxgtABujNO65	Fall 2021	Agree	My goal is to go to school for a medical degree (M.D.).	Very important	Very important	Very important	Very important	Very important	Very important	Very important	Very important	Very important	Very important	Extensive	Some	Little	Much	Extensive	Much	Much	Much	Much	Much	Much	Extensive	Extensive	Extensive	Much	Some	Much	Some	Much	Some	Much	Some	Some	Much	Much	Agree	Neutral	Agree	Disagree	Disagree	Disagree	Disagree	Disagree	Disagree	Strongly agree	Neutral	Disagree	Agree	Agree	Disagree	Disagree	Disagree	Agree	Agree	Agree	Agree	Strongly disagree	3	3	5	4	3	4	2	5	5	5	Female	Two or more races	I am a first-year college undergraduate.	Yes	Biology	Definitely yes	I now plan to pursue a medical degree	Much	Much	Some	Much	Much	Some	Some	Much	Much	Much	Some	Some	Much	Some	Much	Some	Much	Much	Much	Some	Little	Little	Much	Much	Some	Large gain	Large gain	Large gain	Large gain	Large gain	Moderate gain	Moderate gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Moderate gain	Large gain	Large gain	Moderate gain	Moderate gain	Large gain	Moderate gain	Small gain	Agree	Agree	Agree	Agree	Strongly agree	Agree	Neutral	Neutral	Disagree	Disagree	Disagree	Disagree	Agree	Strongly agree	Agree	Neutral	Agree	Agree	Disagree	Strongly disagree	Disagree	Agree	Agree	Disagree	Agree	Disagree	Female	Two or more races	I am a first-year college undergraduate.	Yes	Biology	Definitely yes
R_2EmlyOqH4NlHV0R	Fall 2021	Agree	My goal is to go to school for a medical degree (M.D.).	Moderately important	Very important	Moderately important	Moderately important	Moderately important	Moderately important	Very important	Very important	NA	NA	Much	Extensive	Extensive	Extensive	Some	Much	Extensive	Much	Extensive	Much	Some	Some	Some	Much	Much	Much	Some	Some	Extensive	Extensive	Extensive	Extensive	Much	Some	Little	Agree	Disagree	Agree	Neutral	Agree	Disagree	Strongly disagree	Strongly disagree	Disagree	Neutral	Disagree	Disagree	Neutral	Agree	Neutral	Neutral	Disagree	Agree	Disagree	Agree	Agree	Disagree	3	4	3	2	3	3	4	2	2	3	Female	Black or African American	I am a first-year college undergraduate.	Yes	Biology	It is likely	I now plan to pursue a medical degree	Much	Much	Some	Extensive	Some	Little	Much	Little	Much	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Much	Extensive	Little	Little	None	Extensive	Extensive	Much	Moderate gain	Large gain	Large gain	Large gain	Moderate gain	Moderate gain	Large gain	Large gain	Large gain	Very large gain	Very large gain	Very large gain	Very large gain	Large gain	Large gain	Large gain	Large gain	Very large gain	Large gain	Large gain	Moderate gain	Agree	Strongly agree	Strongly agree	Strongly agree	Agree	Neutral	Agree	Disagree	Neutral	Neutral	Strongly disagree	Strongly disagree	Disagree	Strongly agree	Neutral	Disagree	Agree	Agree	Neutral	Neutral	Disagree	Agree	Disagree	Neutral	Agree	Disagree	Female	Black or African American	I am a first-year college undergraduate.	No	Biology or Psychology	It is likely
R_1Q0oKB5qOz6heWs	Fall 2021	Agree	My goal is to go to school for an M.D./Ph.D.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Some	Some	Some	Some	Much	Much	Much	Some	Much	Much	Some	Some	Much	Much	Much	Much	Some	Some	Some	Little	Some	Some	Some	Some	Some	Agree	Agree	Neutral	Neutral	Disagree	Neutral	Disagree	Disagree	Neutral	Agree	Disagree	Agree	Agree	Neutral	Agree	Disagree	Disagree	Neutral	Disagree	Disagree	Agree	Disagree	4	2	3	3	2	3	2	3	3	3	Male	White	I am a first-year college undergraduate.	Yes	Biology	Definitely yes	I now plan to pursue a medical degree	Much	Much	Much	Much	Much	Much	Much	Much	Much	Much	Much	Much	Much	Much	Much	Much	Much	Much	Much	Little	Some	Little	Some	Some	Some	N.A./Prefer not to answer	Moderate gain	Moderate gain	Large gain	Moderate gain	Moderate gain	Moderate gain	Moderate gain	Moderate gain	Large gain	Moderate gain	Moderate gain	Large gain	Moderate gain	Moderate gain	Moderate gain	Moderate gain	Large gain	Moderate gain	Moderate gain	Moderate gain	Agree	Agree	Agree	Agree	Agree	Agree	Neutral	Neutral	Disagree	Neutral	Disagree	Disagree	Disagree	Agree	Disagree	Agree	Agree	Neutral	Neutral	Disagree	Disagree	Neutral	Neutral	Neutral	Agree	Disagree	Male	White	I am a first-year college undergraduate.	Yes	Biology	Prefer not to answer
R_2TsJ3tSaASLhpuF	Fall 2021	Agree	My goal is to go to school for a medical degree (M.D.).	Not important	Very important	Moderately important	Very important	Very important	Very important	Very important	Very important	Not important	Very important	Some	Much	Little	Much	Little	None	Much	Much	Much	Some	Some	None	Much	Much	Little	Little	Little	None	None	Some	Some	Some	Some	Little	Little	Strongly agree	Agree	Neutral	Neutral	Disagree	Neutral	Disagree	Strongly disagree	Strongly disagree	Strongly agree	Neutral	Agree	Agree	Agree	Neutral	Neutral	Strongly disagree	Strongly agree	Neutral	Disagree	Disagree	Strongly disagree	3	3	4	4	2	3	3	4	4	4	Female	White	I am a first-year college undergraduate.	No	Biology	Definitely yes	I now plan to pursue a Master's degree in a science-related field	Extensive	Much	Much	Extensive	Some	Some	Extensive	Much	Extensive	Much	Much	Some	Much	Much	Some	Little	Little	Some	Some	N.A./Prefer not to answer	N.A./Prefer not to answer	N.A./Prefer not to answer	Some	Much	N.A./Prefer not to answer	No gain or very small gain	Large gain	Large gain	Moderate gain	Moderate gain	Moderate gain	Moderate gain	Large gain	Small gain	Moderate gain	Small gain	Small gain	Very large gain	Moderate gain	Small gain	Large gain	Moderate gain	Large gain	Very large gain	Large gain	Small gain	Neutral	Agree	Strongly agree	Strongly agree	Agree	Agree	Agree	Neutral	Neutral	Disagree	Strongly disagree	Strongly disagree	Disagree	Strongly agree	Neutral	Agree	Neutral	Strongly agree	Disagree	Neutral	Strongly disagree	Agree	Agree	Disagree	Neutral	Strongly disagree	Female	White	I am a first-year college undergraduate.	Yes	Biology	It is likely
R_2fGQ1CpAsw0YomF	Fall 2021	Agree	My goal is to go to graduate school for a Ph.D. degree in a biology-related field	Moderately important	Very important	Very important	Moderately important	Moderately important	Moderately important	Very important	Very important	Very important	NA	Much	Much	Much	Extensive	Extensive	Extensive	Extensive	Some	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Some	Some	Some	Much	Some	Extensive	Much	Little	Agree	Agree	Strongly agree	Strongly agree	Disagree	Agree	Disagree	Strongly disagree	Agree	Strongly agree	Neutral	Neutral	Agree	Neutral	Agree	Disagree	Disagree	Agree	Agree	Neutral	Neutral	Disagree	3	3	4	4	3	4	2	2	4	4	Female	White	I am a first-year college undergraduate.	Yes	Biology	Prefer not to answer	I now plan to pursue a medical degree	Much	Much	Little	Extensive	Extensive	Much	Extensive	Some	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Little	Extensive	Some	Some	Much	None	None	None	Extensive	Extensive	Little	Moderate gain	Large gain	Large gain	Large gain	Large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Small gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly disagree	Strongly disagree	Agree	Agree	Disagree	Strongly agree	Agree	Agree	NA	Neutral	Neutral	Agree	Agree	Agree	Agree	Strongly disagree	Female	White	I am a first-year college undergraduate.	Yes	Biology	Prefer not to answer
R_W7CsANZzkw7BvBT	Fall 2021	Agree	My goal is to go to school for other health professions.	Very important	Very important	Very important	Very important	Moderately important	Very important	Very important	Very important	NA	Moderately important	Some	Little	Little	Much	Much	Little	Some	Some	Some	Much	Little	Little	Much	Some	Much	Some	Some	Some	Much	Little	Much	Little	Much	Much	Some	Agree	Disagree	Neutral	Agree	Neutral	Agree	Disagree	Strongly disagree	Agree	Agree	Disagree	Strongly agree	Agree	Neutral	Disagree	Disagree	Strongly disagree	Disagree	Disagree	Agree	Agree	Disagree	3	4	2	2	2	4	4	4	1	3	Female	White	I am a first-year college undergraduate.	Yes	Biology (Pre-PT)	Prefer not to answer	I now plan to pursue a Doctoral degree in a science-related field	N.A./Prefer not to answer	Extensive	Much	Extensive	Extensive	Much	Some	Some	Extensive	Extensive	Much	Much	Extensive	Extensive	Little	Much	Much	Little	Some	N.A./Prefer not to answer	N.A./Prefer not to answer	N.A./Prefer not to answer	Much	Extensive	Extensive	Moderate gain	Moderate gain	Large gain	Large gain	Large gain	Small gain	Large gain	Very large gain	Very large gain	Very large gain	Large gain	Moderate gain	Very large gain	Large gain	Small gain	Large gain	Small gain	Large gain	Small gain	Very large gain	Moderate gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Neutral	Agree	NA	Neutral	Disagree	Strongly disagree	Strongly disagree	Agree	Strongly agree	Strongly disagree	Neutral	Agree	Agree	Disagree	Neutral	Strongly disagree	Agree	Neutral	Neutral	Agree	Disagree	Female	White	I am a first-year college undergraduate.	Yes	Biology	Definitely yes
R_pRUIqSMYZZ86z85	Fall 2021	Agree	My goal is to go to school for an M.D./Ph.D.	Very important	Very important	Very important	Very important	Very important	Very important	Very important	Very important	Very important	Very important	Little	Some	None	Some	Some	Little	Much	Much	Much	Some	Some	None	Some	Some	Some	Some	Some	Little	Much	Much	Much	Some	Much	Much	Much	Neutral	Agree	Agree	Agree	Agree	Agree	Disagree	Disagree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Neutral	Agree	Agree	Agree	Agree	Agree	Agree	4	1	4	4	1	4	2	2	4	2	Male	White	I am a first-year college undergraduate.	Yes	Biology	Definitely yes	I now plan to pursue a medical degree	Some	Some	Much	Much	Extensive	Extensive	Little	Much	Much	Some	Some	Much	Much	Much	Much	Much	Much	Much	Much	Little	Some	None	Some	Much	Much	Moderate gain	Large gain	Large gain	Large gain	Moderate gain	Moderate gain	Moderate gain	Large gain	Large gain	Large gain	Very large gain	Small gain	Very large gain	Very large gain	Large gain	Large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Strongly agree	Strongly agree	Agree	Strongly agree	Strongly agree	Disagree	Neutral	Neutral	Disagree	Disagree	Disagree	Disagree	Neutral	Agree	Strongly agree	Neutral	Strongly agree	Strongly agree	Disagree	Agree	Disagree	Strongly agree	Agree	Disagree	Agree	Disagree	Male	White	I am a first-year college undergraduate.	Yes	Biology	Prefer not to answer
R_PtZpBuVQK3cPfNf	Fall 2021	Agree	My goal is to go to school for a medical degree (M.D.).	Very important	Very important	Very important	Very important	Very important	Very important	Very important	Very important	Not important	Very important	Some	None	Little	Some	Some	Extensive	Much	Some	Much	Much	Extensive	Extensive	Much	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Neutral	Disagree	Agree	Neutral	Disagree	Disagree	Disagree	Disagree	Agree	Agree	Disagree	Disagree	Disagree	Agree	Agree	Disagree	Disagree	Agree	Agree	Agree	Agree	Disagree	2	2	4	4	4	2	2	2	2	2	Female	Asian American	I am a first-year college undergraduate.	Yes	biology pre med track	Definitely yes	I now plan to pursue a medical degree	Some	Little	Extensive	Much	Extensive	Much	Little	Little	Little	Much	Much	Much	Extensive	Extensive	Extensive	Extensive	Much	Much	Little	Some	Extensive	Extensive	Much	Much	Extensive	Moderate gain	Very large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Large gain	Very large gain	Very large gain	Very large gain	Very large gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Strongly agree	Strongly agree	Neutral	Disagree	Disagree	Agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Disagree	Disagree	Disagree	Strongly agree	Agree	Neutral	Strongly agree	Disagree	Female	Prefer not to answer	I am a first-year college undergraduate.	Yes	Biology	Definitely yes
R_33vuefj4bQv3Zjt	Fall 2021	Agree	My goal is to go to graduate school for a Ph.D. degree in a biology-related field	Very important	Very important	Not important	Very important	Very important	Moderately important	Moderately important	Moderately important	Not important	Not important	Some	Some	None	Some	None	None	Much	Some	Much	None	None	None	Some	Some	Little	None	Little	Little	Some	Some	Some	Much	Little	None	None	Agree	Agree	Strongly agree	Neutral	Strongly disagree	Disagree	Strongly disagree	Disagree	Disagree	Strongly agree	Neutral	Disagree	Neutral	Agree	Disagree	Disagree	Disagree	Agree	Disagree	Agree	Agree	Disagree	3	3	3	2	2	3	2	4	4	4	Female	White	I am a first-year college undergraduate.	Yes	Biology	Definitely yes	I now plan to pursue a Master's degree in a science-related field	Some	Extensive	Extensive	Much	Some	Extensive	Little	Some	Much	Extensive	Extensive	Extensive	Extensive	Extensive	Some	Much	Some	Much	Little	Little	Some	Much	Much	Much	Much	Small gain	Very large gain	Very large gain	Very large gain	Moderate gain	Large gain	Large gain	Very large gain	Very large gain	Very large gain	Large gain	Large gain	Very large gain	Large gain	Moderate gain	Very large gain	Moderate gain	Moderate gain	Moderate gain	Large gain	Moderate gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Agree	Strongly agree	Neutral	Disagree	Agree	Neutral	Disagree	Disagree	Strongly disagree	Strongly agree	Neutral	Neutral	Agree	Strongly disagree	Female	White	I am a first-year college undergraduate.	Yes	Biology	Definitely yes
R_vGoIrMXaMGBkwiB	Fall 2021	Agree	My goal is to go to school for an M.D./Ph.D.	Very important	Very important	Very important	Very important	Very important	Very important	Very important	Very important	Moderately important	Moderately important	None	Extensive	Some	Some	Some	Little	Little	None	Much	Some	None	Little	Extensive	Extensive	None	Much	Some	Little	Much	Extensive	Some	Extensive	Some	Little	None	Agree	Disagree	Agree	Neutral	Disagree	Disagree	Disagree	Neutral	Agree	Agree	Disagree	Neutral	Agree	Neutral	Neutral	Disagree	Strongly disagree	Agree	Disagree	Agree	Disagree	Strongly disagree	3	2	3	4	3	3	2	2	4	3	Female	White	I am a first-year college undergraduate.	No	NA	Definitely yes	I now plan to pursue a Doctoral degree in a science-related field	Little	Some	Extensive	Some	Extensive	Extensive	Extensive	Much	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Some	Some	Much	Some	Extensive	Extensive	Extensive	Moderate gain	Very large gain	Large gain	Very large gain	Large gain	Large gain	Moderate gain	Large gain	Large gain	Large gain	Very large gain	Very large gain	Very large gain	Large gain	Moderate gain	Large gain	Very large gain	Large gain	Large gain	Large gain	Moderate gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Neutral	Strongly agree	Neutral	Disagree	Strongly disagree	Strongly disagree	Strongly disagree	Neutral	Agree	Disagree	Disagree	Strongly agree	Neutral	Neutral	Disagree	Strongly disagree	Strongly agree	Neutral	Disagree	Agree	Strongly disagree	Female	White	I am a first-year college undergraduate.	Yes	Biology	Definitely yes
R_WpKXA061Ifb79hn	Fall 2021	Agree	My goal is to go to school for an M.D./Ph.D.	Not important	Moderately important	Moderately important	Moderately important	Very important	Very important	Very important	NA	Not important	Moderately important	Much	Little	None	Little	Some	Much	Much	Much	Much	Much	Much	Much	Much	Much	Much	Much	Much	Much	Much	Much	Much	Much	Much	Much	Some	Neutral	Disagree	Agree	Neutral	Neutral	Neutral	Disagree	Disagree	Neutral	Agree	Agree	Neutral	Agree	Disagree	Agree	Neutral	Disagree	Agree	Neutral	Neutral	Agree	Disagree	2	2	3	4	5	4	2	1	2	4	Female	Asian American	I am a first-year college undergraduate.	Yes	Biology Major	Definitely yes	I now plan to pursue a medical degree	Much	Much	Much	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Much	Extensive	Extensive	Much	Some	Little	Little	Extensive	Extensive	Extensive	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Agree	Agree	Agree	Neutral	Disagree	Neutral	Neutral	Agree	Agree	Agree	Agree	Neutral	Agree	Neutral	Disagree	Agree	Disagree	Agree	Agree	Disagree	Female	Asian American	I am a first-year college undergraduate.	Yes	Neuroscience	Definitely yes
R_2wcOH9MnQQoIhjo	Fall 2021	Agree	My goal is to go to graduate school for a Ph.D. degree in a biology-related field	Not important	Moderately important	Moderately important	Moderately important	Moderately important	Moderately important	Very important	Very important	Moderately important	Moderately important	Much	Much	Some	Much	Some	Some	Some	Much	Much	Much	Much	Some	Extensive	Extensive	Extensive	Some	Much	Much	Extensive	Extensive	Extensive	Some	Much	Extensive	Some	Strongly agree	Neutral	Neutral	Disagree	Disagree	Disagree	Disagree	Disagree	Neutral	Strongly agree	Neutral	Strongly agree	Strongly agree	Neutral	Neutral	Disagree	Disagree	Neutral	Neutral	Disagree	Neutral	Strongly disagree	3	2	3	4	3	3	4	3	2	3	Female	White	I am a first-year college undergraduate.	Yes	Biology	Definitely yes	I have not considered any post-graduate education	Extensive	Much	Much	Much	Much	Much	Much	Extensive	Extensive	Extensive	Much	Much	Extensive	Much	Much	Much	Extensive	Much	Extensive	Much	Little	Little	Much	Extensive	Some	Moderate gain	Large gain	Large gain	Moderate gain	Large gain	Large gain	Large gain	Very large gain	Very large gain	Very large gain	Large gain	Very large gain	Very large gain	Large gain	Large gain	Very large gain	Moderate gain	Very large gain	Large gain	Very large gain	Moderate gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Disagree	Strongly agree	Disagree	Strongly disagree	Disagree	Strongly disagree	Strongly disagree	Neutral	Strongly agree	Disagree	Disagree	Strongly agree	Neutral	Agree	Disagree	Strongly disagree	Strongly agree	Agree	Agree	Neutral	Strongly disagree	Female	White	I am a first-year college undergraduate.	Yes	Biology	Definitely yes
R_pLrHL8ZHivz4B6V	Fall 2021	Agree	My goal is to go to school for an M.D./Ph.D.	Not important	Not important	Not important	Very important	Very important	Moderately important	Very important	Very important	Not important	NA	Some	Little	Little	Some	Some	Little	Some	Much	Much	Some	Some	Little	Some	Much	Much	Much	Much	Some	Much	Much	Some	Much	Much	Much	Little	Neutral	Agree	Agree	Neutral	Disagree	Strongly disagree	Strongly disagree	Disagree	Disagree	Strongly agree	Disagree	Agree	Agree	Neutral	Agree	Neutral	Neutral	Agree	Agree	Disagree	Neutral	Strongly disagree	3	1	4	4	3	4	4	3	3	5	Male	White	I am a first-year college undergraduate.	Yes	Biology	Definitely yes	I now plan to pursue a medical degree	N.A./Prefer not to answer	N.A./Prefer not to answer	Much	Extensive	Much	Much	Some	Much	Extensive	Extensive	Extensive	Much	Extensive	Extensive	Extensive	Much	Extensive	Much	N.A./Prefer not to answer	N.A./Prefer not to answer	N.A./Prefer not to answer	N.A./Prefer not to answer	Much	Extensive	Much	Moderate gain	Large gain	Large gain	Moderate gain	Large gain	Very large gain	Large gain	Moderate gain	Large gain	Very large gain	Very large gain	Moderate gain	Very large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Small gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Neutral	Agree	NA	Agree	Disagree	Strongly disagree	Agree	Disagree	Strongly agree	Disagree	Neutral	Agree	Neutral	Disagree	Strongly disagree	Strongly disagree	Strongly agree	Disagree	Agree	Agree	Strongly disagree	Male	White	I am a first-year college undergraduate.	Yes	Biology BS	It is likely
R_79Aeye4QAfvP185	Fall 2021	Agree	My goal is to go to school for a medical degree (M.D.).	Not important	Moderately important	Not important	Not important	Very important	Moderately important	Moderately important	Very important	Not important	Not important	Much	Much	Much	Much	Much	Much	Much	Much	Much	Much	Some	Little	Much	Some	Some	Some	Some	Some	Much	Much	Much	Much	Much	Some	Some	Agree	Strongly agree	Strongly agree	Agree	Strongly disagree	Disagree	Strongly disagree	Disagree	Agree	Strongly agree	Agree	Agree	Agree	Neutral	Disagree	Agree	Disagree	Strongly agree	Agree	Disagree	Agree	Disagree	4	1	3	3	1	4	3	3	3	4	Female	White	I am a first-year college undergraduate.	Yes	Biology, Management Minor	It is likely	I now plan to pursue a medical degree	Much	Much	Extensive	Extensive	Extensive	Extensive	Extensive	Much	Extensive	Extensive	Extensive	Some	Extensive	Much	Extensive	Extensive	Much	Extensive	Extensive	Some	Some	Some	Extensive	Extensive	Extensive	Moderate gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Moderate gain	Very large gain	Very large gain	Large gain	Very large gain	Very large gain	Very large gain	Large gain	Very large gain	Large gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Neutral	Disagree	Disagree	Strongly disagree	Disagree	Neutral	Strongly agree	Agree	Agree	Agree	Disagree	Agree	Neutral	Disagree	Strongly agree	Agree	Disagree	Agree	Disagree	Female	White	I am a first-year college undergraduate.	Yes	Biology	Definitely yes
